Date,Open,High,Low,Close,Volume,Adj Close,,,,,,,,,
14-Dec-11,"2,566.21","2,568.44","2,525.88","2,539.31","1,793,960,000","2,539.31",,,,,,,,,
13-Dec-11,"2,629.67","2,639.74","2,568.44","2,579.27","1,752,320,000","2,579.27",,,,,,,,,
12-Dec-11,"2,617.32","2,617.32","2,591.42","2,612.26","1,572,600,000","2,612.26",,,,,,,,,
9-Dec-11,"2,603.18","2,653.46","2,603.18","2,646.85","1,664,710,000","2,646.85",,,,,,,,,
8-Dec-11,"2,633.30","2,645.92","2,592.55","2,596.38","1,845,640,000","2,596.38",,,,,,,,,
7-Dec-11,"2,638.61","2,660.24","2,612.80","2,649.21","1,658,010,000","2,649.21",,,,,,,,,
6-Dec-11,"2,655.02","2,663.63","2,639.18","2,649.56","1,491,130,000","2,649.56",,,,,,,,,
5-Dec-11,"2,666.47","2,674.53","2,641.59","2,655.76","1,686,660,000","2,655.76",,,,,,,,,
2-Dec-11,"2,650.80","2,659.23","2,625.07","2,626.93","1,662,730,000","2,626.93",,,,,,,,,
1-Dec-11,"2,615.67","2,636.08","2,611.48","2,626.20","1,826,860,000","2,626.20",,,,,,,,,
30-Nov-11,"2,586.39","2,620.34","2,582.49","2,620.34","2,440,960,000","2,620.34",,,,,,,,,
29-Nov-11,"2,529.11","2,542.46","2,508.27","2,515.51","1,623,550,000","2,515.51",,,,,,,,,
28-Nov-11,"2,509.63","2,531.32","2,507.72","2,527.34","1,626,060,000","2,527.34",,,,,,,,,
25-Nov-11,"2,453.03","2,477.03","2,441.48","2,441.51","691,750,000","2,441.51",,,,,,,,,
23-Nov-11,"2,501.18","2,503.38","2,460.08","2,460.08","1,707,770,000","2,460.08",,,,,,,,,
22-Nov-11,"2,517.64","2,534.40","2,499.19","2,521.28","1,792,060,000","2,521.28",,,,,,,,,
21-Nov-11,"2,535.34","2,539.87","2,500.89","2,523.14","2,048,520,000","2,523.14",,,,,,,,,
18-Nov-11,"2,595.02","2,595.84","2,567.15","2,572.50","1,755,360,000","2,572.50",,,,,,,,,
17-Nov-11,"2,637.37","2,637.48","2,576.22","2,587.99","2,197,320,000","2,587.99",,,,,,,,,
16-Nov-11,"2,661.09","2,688.86","2,637.91","2,639.61","1,950,030,000","2,639.61",,,,,,,,,
15-Nov-11,"2,647.91","2,695.87","2,644.00","2,686.20","1,706,960,000","2,686.20",,,,,,,,,
14-Nov-11,"2,671.11","2,682.13","2,647.48","2,657.22","1,401,710,000","2,657.22",,,,,,,,,
11-Nov-11,"2,653.53","2,684.67","2,649.85","2,678.75","1,602,640,000","2,678.75",,,,,,,,,
10-Nov-11,"2,652.01","2,652.40","2,601.79","2,625.15","1,892,390,000","2,625.15",,,,,,,,,
9-Nov-11,"2,662.56","2,672.34","2,617.93","2,621.65","2,144,160,000","2,621.65",,,,,,,,,
8-Nov-11,"2,712.08","2,730.39","2,680.93","2,727.49","1,850,270,000","2,727.49",,,,,,,,,
7-Nov-11,"2,683.38","2,697.02","2,649.06","2,695.25","1,712,700,000","2,695.25",,,,,,,,,
4-Nov-11,"2,678.16","2,693.67","2,655.12","2,686.15","1,930,750,000","2,686.15",,,,,,,,,
3-Nov-11,"2,666.21","2,699.84","2,628.22","2,697.97","2,106,240,000","2,697.97",,,,,,,,,
2-Nov-11,"2,637.56","2,648.46","2,613.74","2,639.98","1,921,790,000","2,639.98",,,,,,,,,
1-Nov-11,"2,607.31","2,638.60","2,597.16","2,606.96","2,294,220,000","2,606.96",,,,,,,,,
31-Oct-11,"2,705.89","2,716.70","2,684.13","2,684.41","1,772,560,000","2,684.41",,,,,,,,,
28-Oct-11,"2,724.03","2,742.27","2,723.03","2,737.15","1,838,530,000","2,737.15",,,,,,,,,
27-Oct-11,"2,720.59","2,753.37","2,694.27","2,738.63","2,810,680,000","2,738.63",,,,,,,,,
26-Oct-11,"2,660.42","2,666.29","2,598.74","2,650.67","2,118,650,000","2,650.67",,,,,,,,,
25-Oct-11,"2,685.86","2,685.88","2,633.94","2,638.42","1,777,770,000","2,638.42",,,,,,,,,
